id,y
1,81.5078659058
2,98.6091995239
3,79.7966766357
4,79.7850570679
5,114.743545532
8,94.8120422363
10,113.256187439
11,94.8989944458
12,116.239486694
14,95.4014968872
15,116.013778687
16,105.518974304
17,101.368293762
19,95.3389282227
20,105.185325623
21,101.94367981
22,116.332763672
23,100.972610474
26,96.6231613159
28,94.4417572021
29,96.5144271851
33,96.2920227051
35,94.7523193359
41,96.498085022
42,94.7317657471
43,116.401687622
45,103.498573303
46,103.954589844
51,94.461807251
53,79.6413269043
55,113.158439636
56,94.551940918
57,104.290809631
58,94.8613739014
59,104.47845459
63,112.522109985
64,95.0019607544
65,104.835624695
69,96.183631897
71,94.9262390137
72,104.165420532
73,94.6586532593
76,104.398635864
77,104.215545654
78,115.519233704
82,94.6494293213
83,104.835624695
84,94.6255493164
85,103.924888611
87,112.527862549
88,96.3906097412
89,113.295913696
91,94.5192947388
93,94.7820587158
94,104.167449951
95,94.7753219604
96,111.536201477
97,94.5920715332
98,112.483192444
99,94.5944900513
101,104.158195496
103,113.295913696
104,94.4964141846
105,112.343902588
110,94.9386444092
111,112.619308472
113,112.744590759
114,94.1324615479
115,115.872940063
117,113.295913696
120,94.5613021851
121,112.437889099
122,94.1092071533
123,112.70198822
126,112.599884033
132,112.076499939
135,104.81880188
137,104.41166687
138,94.7490997314
140,94.7190475464
142,112.768241882
144,112.475738525
148,94.2268981934
149,113.6927948
155,94.5009155273
156,112.665145874
157,94.5920715332
162,112.52419281
163,94.8151321411
167,94.8022766113
172,115.911560059
179,112.676116943
180,94.2493896484
181,111.965133667
182,94.8189315796
183,113.295913696
185,113.295913696
187,112.409301758
188,94.4084091187
189,94.5321121216
191,94.5643310547
192,112.582748413
193,94.7844085693
194,112.372573853
195,94.0559844971
196,112.638092041
198,94.6785354614
199,112.588554382
201,104.902877808
204,94.778465271
205,105.26625061
206,94.4883728027
210,94.6304244995
211,104.158195496
216,112.517700195
219,115.586616516
220,94.3496246338
221,112.258850098
226,111.965133667
227,94.5960998535
228,112.548538208
230,112.388618469
231,94.1048736572
235,115.824188232
236,94.5870666504
238,112.841934204
242,104.303573608
243,94.4675750732
244,79.8626556396
245,111.910148621
247,113.472946167
248,94.4241867065
249,94.6614837646
250,112.126281738
251,94.5870666504
253,115.824188232
254,94.2521972656
256,94.3317108154
257,94.0537185669
258,112.913879395
259,94.5944900513
262,81.1119384766
266,94.5108261108
267,113.128120422
272,103.793800354
273,113.295913696
275,97.0344085693
276,113.561286926
279,94.810874939
280,104.833709717
283,94.6081008911
285,112.491706848
288,113.295913696
289,94.8192672729
290,104.729248047
291,94.8095474243
292,111.576049805
293,112.446556091
296,105.551307678
297,112.316413879
298,115.452896118
299,94.6494293213
304,94.3782806396
305,90.6884765625
306,94.4781646729
307,111.944007874
311,108.523788452
313,111.944503784
314,94.2749023438
316,94.6773834229
324,94.5988922119
327,94.8709640503
329,94.222946167
330,112.365791321
337,104.549438477
338,94.8309020996
339,104.836112976
340,94.9785995483
343,94.4550552368
345,115.317626953
346,94.5657958984
347,113.093299866
349,112.354759216
350,94.1791000366
352,112.598884583
353,94.3308334351
354,79.2832641602
357,94.4514923096
358,112.60824585
362,112.741973877
364,116.08253479
365,113.030334473
366,94.6351470947
367,112.211250305
368,94.7063903809
370,79.5146484375
373,94.8817062378
377,94.3079071045
378,112.4503479
382,104.368797302
384,112.548538208
390,94.5172653198
392,112.074188232
393,112.033424377
395,94.6909179688
396,104.823303223
399,79.3018569946
406,111.960548401
408,111.960548401
409,94.2169952393
410,80.279548645
412,112.692260742
413,93.8897323608
419,94.5588302612
420,112.723556519
421,93.9011154175
430,102.355201721
434,94.4686050415
436,94.792930603
437,94.551940918
438,94.2178955078
439,112.703071594
440,94.5854263306
443,113.001907349
446,94.7490997314
448,94.7016372681
452,94.8193283081
453,104.239379883
457,104.776611328
458,94.5077285767
459,113.992347717
460,104.270835876
462,104.499008179
464,104.530860901
465,115.586616516
467,116.913246155
471,112.158157349
472,79.1611633301
473,94.2609710693
475,94.7430419922
480,94.774597168
488,112.830337524
490,111.944007874
491,104.162246704
492,79.4884643555
493,94.4698562622
497,94.2396469116
498,112.378974915
499,94.6936645508
500,113.035087585
501,94.5160217285
502,113.226524353
506,79.6423568726
510,112.447486877
511,94.172706604
512,94.2090148926
516,107.341567993
518,94.1668701172
519,112.883651733
521,94.25806427
522,112.652648926
526,112.49168396
529,94.7032012939
532,112.107368469
533,94.5647125244
536,112.977760315
537,102.179100037
539,94.6586532593
540,104.146697998
541,94.6291885376
543,94.5277252197
546,112.591285706
547,94.5693740845
548,79.5369567871
551,94.4698562622
552,104.080795288
556,103.849067688
557,94.7769622803
558,112.211250305
559,94.7601165771
560,105.104133606
562,105.275138855
566,94.7016067505
570,112.378974915
571,94.551940918
572,104.833709717
573,94.4515838623
575,115.586616516
576,112.04776001
577,94.0479278564
579,93.9283065796
580,111.974624634
581,111.873794556
589,111.944007874
591,103.830970764
593,94.745300293
594,103.775390625
595,94.5066986084
598,94.4514923096
602,112.119186401
604,112.718406677
606,113.036117554
608,94.5261764526
609,104.158195496
610,94.461807251
616,112.870033264
617,94.5364303589
618,103.875015259
620,104.503921509
622,112.840682983
623,93.971496582
624,113.81829071
626,112.265716553
628,112.214447021
629,94.4951248169
630,112.388618469
637,94.7100830078
638,104.65712738
643,94.6962280273
645,94.774597168
646,114.175514221
648,94.9318466187
652,94.7016067505
653,94.551940918
654,112.378974915
656,112.543640137
657,94.7382888794
659,94.611000061
660,104.450187683
663,94.3205032349
664,112.639602661
666,104.141014099
668,111.754463196
669,94.5443649292
671,94.8949127197
675,94.3188552856
677,94.7614974976
678,111.669082642
679,104.62033844
682,94.7233047485
685,104.420402527
687,94.6428451538
688,94.3754730225
693,112.131156921
696,95.0331954956
698,94.5819091797
701,94.9625244141
704,104.142990112
705,115.605117798
709,112.47052002
710,94.5200271606
711,104.483833313
712,94.7822723389
714,112.286697388
715,94.485496521
716,111.933479309
717,94.1344985962
720,115.361053467
721,94.5643310547
724,110.592460632
725,94.730682373
726,113.445968628
728,112.451637268
731,94.5713043213
734,104.518035889
738,94.521232605
745,112.239578247
746,94.4475402832
751,80.2683334351
754,94.5539703369
756,94.5166702271
758,94.5478897095
759,113.178161621
761,115.455635071
766,94.555557251
767,112.002716064
768,93.9916992188
769,112.988372803
770,95.135055542
771,79.5450744629
772,104.896705627
773,94.466545105
774,111.864715576
776,112.521713257
777,94.7183990479
780,116.193710327
782,104.162246704
787,103.865089417
788,94.6586532593
792,94.1948013306
793,112.133857727
798,94.7663116455
800,94.4588470459
806,111.933479309
809,112.616928101
811,112.6925354
812,93.8667526245
814,115.538215637
816,104.031990051
817,94.791557312
818,106.876190186
820,112.854194641
823,94.5077285767
829,94.0218734741
830,113.056182861
831,93.9213180542
834,112.140090942
839,94.7835159302
841,79.7573318481
844,104.158195496
845,94.461807251
848,94.4375457764
850,94.7826004028
851,104.044715881
852,94.6631164551
854,94.3087844849
855,94.7896118164
856,104.183189392
859,103.84336853
861,111.864715576
864,94.477897644
865,111.804389954
866,94.5805130005
867,94.5452957153
869,94.7293243408
871,94.2079238892
872,111.933479309
882,103.79801178
883,94.4686050415
885,94.7592391968
888,95.0300064087
893,111.995819092
901,111.691680908
903,104.153678894
904,94.7609863281
905,104.445976257
910,94.7890472412
911,112.473953247
914,112.887863159
918,113.693824768
921,94.1307678223
928,94.3738861084
929,104.432571411
932,94.6564941406
933,104.404190063
934,94.795249939
935,112.396614075
937,79.5936203003
939,94.6793365479
940,104.028579712
941,94.6914138794
942,103.730773926
943,94.5669326782
944,104.035743713
947,111.933479309
949,112.448028564
951,112.298660278
952,94.8298797607
953,104.153678894
954,79.3967971802
957,112.556259155
959,93.9934463501
960,115.495635986
963,115.543540955
965,111.933479309
967,104.071739197
971,94.4324493408
972,79.2666244507
973,94.5655670166
974,112.580657959
975,95.2652740479
978,116.341712952
980,112.384376526
981,94.7591552734
984,112.980430603
986,94.795249939
988,93.9979019165
989,112.565658569
990,103.981750488
992,111.688591003
996,94.7475814819
999,113.184570312
1000,94.5878143311
1001,111.80116272
1002,93.9646682739
1003,112.527038574
1004,94.0571365356
1008,111.739784241
1009,94.5629577637
1010,104.001480103
1012,116.177474976
1013,94.3231506348
1014,112.734786987
1015,94.2509841919
1016,115.561859131
1019,94.3441543579
1020,113.175758362
1021,94.8070373535
1022,103.965072632
1024,94.8070373535
1025,80.5907669067
1027,94.7450332642
1028,104.853530884
1029,94.8847122192
1030,94.6896438599
1033,112.615142822
1036,94.5451965332
1037,112.408912659
1038,94.4806747437
1042,94.6862640381
1043,103.91229248
1044,94.5049514771
1045,111.92653656
1047,114.254699707
1050,94.4238052368
1051,111.918510437
1054,94.525718689
1056,94.7709503174
1057,94.4933776855
1059,94.9908370972
1062,103.179618835
1063,104.209442139
1064,94.7709503174
1066,94.5449905396
1070,104.84438324
1076,112.059089661
1077,104.22984314
1078,112.258338928
1080,112.464630127
1082,112.473495483
1083,94.8849868774
1089,113.063835144
1091,95.0533218384
1093,94.7606582642
1097,94.5966262817
1099,94.3543319702
1101,94.8292312622
1103,95.2295455933
1104,112.325325012
1106,112.138160706
1109,94.5487518311
1110,112.433631897
1111,94.7068634033
1112,112.086708069
1114,94.486579895
1116,94.2738189697
1117,112.513458252
1120,94.5468139648
1124,112.622383118
1125,94.1404800415
1126,112.579849243
1134,111.944412231
1137,94.5063171387
1138,112.472419739
1144,111.602752686
1145,94.5420150757
1146,94.329788208
1148,95.227935791
1150,94.5981369019
1152,104.163520813
1153,94.7903213501
1154,103.803260803
1155,94.4712982178
1157,94.391418457
1162,94.6913909912
1165,112.567054749
1166,94.1652755737
1167,104.092460632
1168,94.8292312622
1169,103.853492737
1171,115.798088074
1172,94.8860549927
1173,103.853492737
1174,94.634475708
1176,94.9277572632
1177,104.062187195
1178,94.489692688
1182,112.59866333
1186,94.8215560913
1187,112.762939453
1188,94.6915740967
1189,116.239562988
1191,104.863922119
1192,94.5481872559
1197,112.209564209
1198,94.1799163818
1200,79.2385253906
1201,94.8204116821
1203,94.637008667
1209,115.548614502
1214,104.440200806
1218,111.902038574
1222,94.7730712891
1226,94.7790374756
1228,94.4852142334
1230,94.5638656616
1232,79.5123291016
1233,94.5842590332
1236,114.142372131
1238,94.4981079102
1241,111.615737915
1244,104.862571716
1246,94.8615875244
1247,112.173660278
1250,112.474563599
1251,94.1132888794
1254,113.235992432
1255,94.512298584
1256,111.114822388
1257,94.4634017944
1258,94.5011291504
1259,111.923583984
1260,94.7686004639
1263,112.116371155
1267,79.4885787964
1268,111.125679016
1271,94.5481872559
1272,112.018005371
1274,104.54058075
1275,94.6913909912
1276,111.923583984
1277,94.6122970581
1279,94.329788208
1281,94.6730651855
1282,94.6915740967
1283,112.36869812
1285,112.407516479
1286,94.3777313232
1289,112.552627563
1296,112.036468506
1299,94.5981369019
1301,94.7577056885
1306,94.297744751
1307,94.5125274658
1308,94.5039367676
1313,111.923583984
1314,94.8282852173
1315,112.400650024
1316,94.448387146
1317,111.996116638
1319,94.2557983398
1323,94.8215560913
1324,104.564598083
1325,94.2407226562
1328,103.895187378
1329,94.5914535522
1330,111.886909485
1331,94.6481170654
1332,104.334495544
1337,94.83959198
1338,112.304290771
1339,94.3068389893
1340,112.2628479
1343,113.123275757
1347,104.464065552
1348,94.4076080322
1349,104.417259216
1352,94.3377227783
1354,95.5104751587
1359,112.690689087
1360,94.8292312622
1363,111.996459961
1364,95.0565185547
1365,103.913581848
1366,94.5744018555
1372,94.8178710938
1375,104.194602966
1376,94.6572494507
1378,94.3173065186
1379,112.636245728
1380,94.8292312622
1381,103.890296936
1384,114.354026794
1387,94.601524353
1388,112.270904541
1392,79.4590148926
1394,104.248893738
1395,94.7595367432
1396,111.986289978
1398,94.511390686
1399,111.986289978
1400,94.8470077515
1401,94.5008087158
1403,94.4962234497
1404,111.089233398
1406,111.988746643
1407,94.6504516602
1408,112.163024902
1410,79.5980682373
1412,111.979522705
1413,94.7945480347
1415,94.8418273926
1420,112.163024902
1422,111.911735535
1423,107.149841309
1424,112.163024902
1425,94.8187484741
1426,79.5980682373
1427,94.6569976807
1429,94.4445037842
1430,112.95690155
1431,95.3921508789
1432,103.681884766
1434,111.855392456
1437,94.6667556763
1438,104.236320496
1440,112.908226013
1441,112.228286743
1442,94.516418457
1444,111.420471191
1445,95.0133209229
1446,104.295715332
1448,94.2692108154
1453,94.4106445312
1454,111.979522705
1455,94.5481872559
1456,111.778900146
1458,111.979522705
1459,94.3697433472
1461,94.5235671997
1465,94.601524353
1466,111.32950592
1469,94.8215560913
